sf,lf_1,source_1,cui_1,semtypes_1,semgroups_1,lf_2,source_2,cui_2,semtypes_2,semgroups_2,is_train
DPB,dorsal pancreatic bud,pubmed,C1283974,Embryonic Structure,Anatomy,degraded protein balance,pubmed,C0014653|C0033684|C0179199|C0205415|C0560184|C1881707|C4319618,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Finding|Functional Concept|Medical Device|Organic Chemical|Organism Function|Pharmacologic Substance",Chemicals & Drugs|Concepts & Ideas|Devices|Disorders|Physiology,1
TL,to liver ratio,pubmed,C0023884|C0456603|C1547037|C2346688|C3486713,"Amino Acid, Peptide, or Protein|Body Part, Organ, or Organ Component|Food|Intellectual Product|Pharmacologic Substance|Quantitative Concept",Anatomy|Chemicals & Drugs|Concepts & Ideas|Objects,the leukemogenic properties of radlvvl3,pubmed,C0871161|C1292721|C2983796,Functional Concept|Qualitative Concept,Concepts & Ideas,1
BUT,breakup times,pubmed,C0040223|C1632851,Quantitative Concept|Temporal Concept,Concepts & Ideas,before rupturing,pubmed,C0443294|C3203359,Functional Concept|Injury or Poisoning,Concepts & Ideas|Disorders,1
BRUIT,noise,umls,C0028263,Phenomenon or Process,Phenomena,bruit,umls,C0006318,Finding,Disorders,1
INTER,information on female oncofertility on websites of,pubmed,C0043210|C0086287|C1533716|C1705497|C1705498|C2349146,Idea or Concept|Intellectual Product|Organism Attribute|Population Group|Qualitative Concept,Concepts & Ideas|Living Beings|Physiology,impressions we took a closer look at the relationship between,pubmed,C0233426|C0439849|C0587267|C0596764|C1515187|C1705630|C1706279|C3540605|C3810854,Finding|Functional Concept|Health Care Activity|Idea or Concept|Intellectual Product|Mental Process|Organism Attribute|Qualitative Concept,Concepts & Ideas|Disorders|Physiology|Procedures,1
MRG,modifications for average,pubmed,C0392747|C1510992|C1554963|C2825518|C3840684|C3889737,Finding|Functional Concept|Quantitative Concept|Temporal Concept,Concepts & Ideas|Disorders,myogenic regulatory gene,pubmed,C0017362|C0596997,Cell Function|Gene or Genome,Genes & Molecular Sequences|Physiology,1
HL,hepatic triacylglycerol lipase,pubmed,C1453952,"Amino Acid, Peptide, or Protein|Enzyme",Chemicals & Drugs,hh x ll cross,pubmed,C0062941|C0392514|C1414862|C2828360|C4085201|C4554369,Conceptual Entity|Disease or Syndrome|Finding|Gene or Genome|Organic Chemical|Pharmacologic Substance,Chemicals & Drugs|Concepts & Ideas|Disorders|Genes & Molecular Sequences,1
TINA,twisted intercalating nucleic acid|twisted intercalating nucleic acids,pubmed,C0021717|C0028606|C0231467|C1880179,"Biologically Active Substance|Indicator, Reagent, or Diagnostic Aid|Nucleic Acid, Nucleoside, or Nucleotide|Spatial Concept",Chemicals & Drugs|Concepts & Ideas,telecommunication information networking architecture,pubmed,C0003737|C0021419|C0039449|C0282112|C1533716,Idea or Concept|Machine Activity|Manufactured Object|Occupation or Discipline,Activities & Behaviors|Concepts & Ideas|Objects|Occupations,1
CPEP,center for personalized education for physicians,pubmed,C0013621|C0013622|C0013658|C0031831|C0039401|C0205099|C1709510|C3810851,Classification|Educational Activity|Finding|Professional or Occupational Group|Qualitative Concept|Spatial Concept,Concepts & Ideas|Disorders|Living Beings|Procedures,calcium for preeclampsia prevention,pubmed,C0006675|C0006726|C0032914|C0199176|C1706420|C2700409|C2936886|C3540037|C3714611,"Biologically Active Substance|Element, Ion, or Isotope|Inorganic Chemical|Pathologic Function|Pharmacologic Substance|Qualitative Concept|Research Activity|Therapeutic or Preventive Procedure|Vitamin",Chemicals & Drugs|Concepts & Ideas|Disorders|Procedures,1
LDRT,lowdose radiotherapy,pubmed,C0034619|C0243005|C1522449,Biomedical Occupation or Discipline|Intellectual Product|Therapeutic or Preventive Procedure,Concepts & Ideas|Occupations|Procedures,lowdose xirradiation therapy|lowdoserate telecobalt therapy,pubmed,C0039798|C0087111|C1363945,Finding|Functional Concept|Therapeutic or Preventive Procedure,Concepts & Ideas|Disorders|Procedures,1
GGGP,geranylgeranylglyceryl phosphate,pubmed,C0031603|C0031701|C1601799,"Element, Ion, or Isotope|Inorganic Chemical|Organic Chemical|Pharmacologic Substance",Chemicals & Drugs,grammarguided genetic programming,pubmed,C1517503,Intellectual Product,Concepts & Ideas,1
DOT,discomfort sensation onset time,pubmed,C0036658|C0449244|C0542538|C1455667|C2364135,Finding|Organ or Tissue Function|Qualitative Concept|Sign or Symptom|Temporal Concept,Concepts & Ideas|Disorders|Physiology,direct observation of treatment,pubmed,C0039798|C0087111|C0302523|C0439851|C0700325|C1522326|C1533734|C1705169|C1947931|C1964257|C3538994|C3887704|C3889687,Conceptual Entity|Diagnostic Procedure|Functional Concept|Health Care Activity|Qualitative Concept|Research Activity|Therapeutic or Preventive Procedure,Concepts & Ideas|Procedures,1
JHH,juvenile homosexual homicide,pubmed,C0019872|C0019898|C0019900|C2919103|C3146221,Age Group|Individual Behavior|Injury or Poisoning|Population Group|Social Behavior,Activities & Behaviors|Disorders|Living Beings,juvenile hemochromatosis,pubmed,C0268060,Disease or Syndrome,Disorders,1
ASAI,all the patients were with a good physical status,pubmed,C0030705|C0205170|C1444665,Finding|Patient or Disabled Group|Qualitative Concept,Concepts & Ideas|Disorders|Living Beings,analysis obtained by plotting the peak area ratio,pubmed,C0002778|C0444505|C0936012|C1301820|C1442066|C1524024|C1709582,Functional Concept|Laboratory Procedure|Manufactured Object|Qualitative Concept|Quantitative Concept|Research Activity,Concepts & Ideas|Objects|Procedures,1
POD,postop day|postoperative day,pubmed,C0032790|C0332173|C0439228|C0439505,Temporal Concept,Concepts & Ideas,process effacement and glomerular scarring wtactn4,pubmed,C0008767|C0022663|C0268731|C0552443|C1184743|C1522240|C2004491|C4521054|C4521541,"Body Part, Organ, or Organ Component|Clinical Attribute|Disease or Syndrome|Functional Concept|Health Care Activity|Pathologic Function|Phenomenon or Process",Anatomy|Concepts & Ideas|Disorders|Phenomena|Physiology|Procedures,1
EMGS,expression minigenes,pubmed,C0185117|C3854321,Idea or Concept|Therapeutic or Preventive Procedure,Concepts & Ideas|Procedures,electromyographic signals,pubmed,C1710082,Phenomenon or Process,Phenomena,1
WBCS,whitebloodcell scintigraphy,pubmed,C0034606,Diagnostic Procedure,Procedures,white blood corpuscles,pubmed,C0023516,Cell,Anatomy,1
CHM,chitosan membrane,pubmed,C0025255|C0162969|C0596901|C1706182,Cell Component|Manufactured Object|Organic Chemical|Pharmacologic Substance|Tissue,Anatomy|Chemicals & Drugs|Objects,cycloheximide,pubmed,C0010572,Antibiotic|Organic Chemical,Chemicals & Drugs,1
RICH,ric1 homologue,pubmed,C1334043|C1425035,Gene or Genome,Genes & Molecular Sequences,regenerationinduced cnpase homolog,pubmed,C0000184|C1334043,"Amino Acid, Peptide, or Protein|Enzyme|Gene or Genome",Chemicals & Drugs|Genes & Molecular Sequences,1
IACA,incomplete distal anterior cerebral artery,pubmed,C0149561|C0205108|C0205257|C0728938|C1548386|C4522154,"Body Part, Organ, or Organ Component|Clinical Attribute|Idea or Concept|Qualitative Concept|Quantitative Concept|Spatial Concept",Anatomy|Concepts & Ideas|Physiology,intraaxonal corpora amylacea,pubmed,C0333564|C1235668,"Body Part, Organ, or Organ Component|Pathologic Function",Anatomy|Disorders,1
HENRY,heterogeneous polymeric solid catalysts not only for the diastereoselective nitroaldol,pubmed,C0019409|C0032521|C0175921|C0205171|C0205208|C0242960|C0302909|C1378566|C1518422|C1720467|C3178660,Biomedical or Dental Material|Chemical Viewed Structurally|Functional Concept|Intellectual Product|Organic Chemical|Organism Attribute|Phenomenon or Process|Qualitative Concept|Quantitative Concept|Substance,Chemicals & Drugs|Concepts & Ideas|Objects|Phenomena|Physiology,henry,umls,C0582517,Quantitative Concept,Concepts & Ideas,1
FH,family history of dementia,pubmed,C2315857,Finding,Disorders,final height,pubmed,C0205088|C0489786|C1546485|C3853528,Idea or Concept|Organism Attribute|Qualitative Concept|Temporal Concept,Concepts & Ideas|Physiology,1
EFL,electronic foramen locator|electronic foramen locators,pubmed,C0013850|C1547561|C3687616|C4281784,Activity|Idea or Concept|Occupation or Discipline,Activities & Behaviors|Concepts & Ideas|Occupations,echogenic fetal lung,pubmed,C1517163|C4697723,Embryonic Structure|Finding,Anatomy|Disorders,1
VALE,viscum album lipophilic extract|viscum album l lipophilic extract,pubmed,C0598631|C1166209,Organic Chemical|Pharmacologic Substance|Quantitative Concept,Chemicals & Drugs|Concepts & Ideas,vortexassisted liquid extraction,pubmed,C1720014,Biomedical or Dental Material,Chemicals & Drugs,1
FHX,fibrohexamerin,pubmed,C0963418,"Amino Acid, Peptide, or Protein",Chemicals & Drugs,fluorouracil hydroxyurea and oncedaily radiotherapy,pubmed,C0034619|C0243005|C0280678|C1522449,Biomedical Occupation or Discipline|Intellectual Product|Therapeutic or Preventive Procedure,Concepts & Ideas|Occupations|Procedures,1
REAL,revised european american classification of lymphoid neoplasms,pubmed,C0008902|C0008903|C0598798|C0678229|C0683983|C0920604|C1518071|C1527075|C4521224,Classification|Functional Concept|Intellectual Product|Laboratory Procedure|Neoplastic Process|Occupational Activity|Population Group|Qualitative Concept|Therapeutic or Preventive Procedure,Activities & Behaviors|Concepts & Ideas|Disorders|Living Beings|Procedures,risedronate and alendronate,pubmed,C0102118|C0246719,Organic Chemical|Pharmacologic Substance,Chemicals & Drugs,1
CLAMP,spef1 gene,umls,C1423795,Gene or Genome,Genes & Molecular Sequences,category exemplar apple lowtypicality exemplar cherry or nonexemplar,pubmed,C0003625|C0330657|C0475653|C0683312|C0770609|C0936039|C1095830|C3257517|C3889287,Classification|Food|Intellectual Product|Organic Chemical|Plant,Chemicals & Drugs|Concepts & Ideas|Living Beings|Objects,1
BEAT,bronchoalveolar lavage in the evaluation of antiinflammatory treatment,pubmed,C0003209|C0189381|C0396473|C0557980|C1515999|C1535502,Diagnostic Procedure|Health Care Activity|Pharmacologic Substance|Qualitative Concept|Therapeutic or Preventive Procedure,Chemicals & Drugs|Concepts & Ideas|Procedures,bevacizumab expanded access trial,pubmed,C0008976|C0205229|C0444454|C0796392|C1554204,"Amino Acid, Peptide, or Protein|Functional Concept|Immunologic Factor|Pharmacologic Substance|Research Activity|Spatial Concept",Chemicals & Drugs|Concepts & Ideas|Procedures,1
HAK,animal tarsus,umls,C1522382,"Body Part, Organ, or Organ Component",Anatomy,homeadministered kit,pubmed,C0812225|C1150635|C1690540|C1705213|C3273202|C3853650,"Amino Acid, Peptide, or Protein|Immunologic Factor|Manufactured Object|Medical Device|Molecular Function|Qualitative Concept|Receptor",Chemicals & Drugs|Concepts & Ideas|Devices|Objects|Physiology,1
CBT,carbetocin,pubmed,C0054670,"Amino Acid, Peptide, or Protein|Pharmacologic Substance",Chemicals & Drugs,cortical bone thickness,pubmed,C0222652|C0222661|C1280412,"Body Part, Organ, or Organ Component|Qualitative Concept|Tissue",Anatomy|Concepts & Ideas,1
KAU,kanuri language,umls,C0574653,Language,Concepts & Ideas,kagoshima university|king abdul aziz university|king abdulaziz university,pubmed,C0041740,Manufactured Object|Organization,Objects|Organizations,1
PEGJ,peg with jejeunostomy,pubmed,C4282033,Intellectual Product,Concepts & Ideas,percutaneous endoscopic gastrostomy with a jejunal extension|percutaneous endoscopic gastrostomy with jejunal extension|percutaneous gastrostomy with jejunal extension,pubmed,C0022378|C0176751|C0231448|C1880641,"Body Part, Organ, or Organ Component|Conceptual Entity|Functional Concept|Therapeutic or Preventive Procedure",Anatomy|Concepts & Ideas|Procedures,1
KENYA,known as potentially controlling photoautotrophic bacterioplankton in lake nakuru,pubmed,C0205309|C0337049|C0562689|C0597898|C2239193|C2587213|C3245505,Functional Concept|Geographic Area|Organism|Phenomenon or Process|Qualitative Concept,Concepts & Ideas|Geographic Areas|Living Beings|Phenomena,kenyatta national hospital nairobi,pubmed,C0019994|C1510665|C3245503,Health Care Related Organization|Manufactured Object|Population Group|Qualitative Concept,Concepts & Ideas|Living Beings|Objects|Organizations,1
DNP,disease nonprogression,pubmed,C4054348,Finding,Disorders,dorsal nerves of the penis|dorsal nerve of the penis,pubmed,C0228964,"Body Part, Organ, or Organ Component",Anatomy,1
RSA,republic of south africa,pubmed,C0037712,Geographic Area,Geographic Areas,relative specific activity,pubmed,C0080103|C0205345|C1547039|C3828414,Family Group|Phenomenon or Process|Qualitative Concept|Quantitative Concept,Concepts & Ideas|Living Beings|Phenomena,1
SAIF,spatially adaptive iterative filtering,pubmed,C0180860|C0231193|C0581406|C1428114|C1522664|C1704449|C1854293|C1875155,Conceptual Entity|Finding|Functional Concept|Gene or Genome|Intellectual Product|Manufactured Object|Medical Device,Concepts & Ideas|Devices|Disorders|Genes & Molecular Sequences|Objects,statistical method for aif extraction,pubmed,C0038215|C0185115|C0449341|C0684295|C1710191|C1826618,Gene or Genome|Intellectual Product|Laboratory Procedure|Occupation or Discipline|Research Activity|Therapeutic or Preventive Procedure,Concepts & Ideas|Genes & Molecular Sequences|Occupations|Procedures,1
RALPH,recognize and address limited pharmaceutical literacy|recognition and addressing of limited pharmaceutical literacy,pubmed,C0023864|C0031336|C0376649|C0439801|C0524637|C1135440|C1442065|C2674459|C3542948|C4050251|C4319699,Biomedical Occupation or Discipline|Finding|Functional Concept|Intellectual Product|Mental Process|Therapeutic or Preventive Procedure,Concepts & Ideas|Disorders|Occupations|Physiology|Procedures,reciprocallyacting lymphocyte proliferation helper,pubmed,C0596873|C1269765|C1552861,Cell Function|Intellectual Product|Qualitative Concept,Concepts & Ideas|Physiology,1
FCV,fourchamber view,pubmed,C0449911,Spatial Concept,Concepts & Ideas,flue cure virginia genotype,pubmed,C0017431|C0042753|C1256310|C1880198,Conceptual Entity|Geographic Area|Organism Attribute|Reptile,Concepts & Ideas|Geographic Areas|Living Beings|Physiology,1
LHV,low heating value,pubmed,C0018851|C0205251|C1522609|C1550472|C3890211|C4048187|C4321351|C4522223,Environmental Effect of Humans|Intellectual Product|Qualitative Concept|Quantitative Concept,Concepts & Ideas|Phenomena,local hidden variable,pubmed,C0205262|C0205276|C0439828|C4553760,Intellectual Product|Qualitative Concept|Spatial Concept,Concepts & Ideas,1
IAW,increased appetite or weight gain,pubmed,C0043094|C0232461|C2911647|C3815569|C3889988|C4084773,Finding|Intellectual Product,Concepts & Ideas|Disorders,interoceptive awareness,pubmed,C0004448,Mental Process,Physiology,1
RASP,right ventricular apical versus septal pacing,pubmed,C0205111|C0225883|C0442004|C0562458,"Body Part, Organ, or Organ Component|Individual Behavior|Spatial Concept",Activities & Behaviors|Anatomy|Concepts & Ideas,rapidly alternating speech perception,pubmed,C0037826|C0332270|C0456962,Functional Concept|Mental Process|Qualitative Concept,Concepts & Ideas|Physiology,1
EMR,effective transmembrane resistance,pubmed,C0237834|C1167322|C1280519|C1514892|C1704419|C2752508|C4281815,Cell Component|Functional Concept|Mental Process|Physiologic Function|Qualitative Concept,Anatomy|Concepts & Ideas|Physiology,extramural review,pubmed,C0205101|C0282443|C1517061|C1552617,Governmental or Regulatory Activity|Idea or Concept|Intellectual Product|Spatial Concept,Activities & Behaviors|Concepts & Ideas,1
HPL,histopathological lesions,pubmed,C0221198|C0243140|C0677043,Biomedical Occupation or Discipline|Finding|Functional Concept,Concepts & Ideas|Disorders|Occupations,hp lyase,pubmed,C0024188|C4521999,"Amino Acid, Peptide, or Protein|Enzyme|Qualitative Concept",Chemicals & Drugs|Concepts & Ideas,1
SUPER,surfaces for perceptive rehabilitation,pubmed,C0030971|C0034991|C0034992|C0205148|C0237774|C1306847,Biomedical Occupation or Discipline|Functional Concept|Mental Process|Spatial Concept|Therapeutic or Preventive Procedure,Concepts & Ideas|Occupations|Physiology|Procedures,supported bilayers with excess membrane reservoir,pubmed,C0025255|C0442537|C0596901|C1289877|C1521721|C1706182|C1979886,Cell Component|Conceptual Entity|Geographic Area|Manufactured Object|Qualitative Concept|Tissue,Anatomy|Concepts & Ideas|Geographic Areas|Objects,1
ADS,aortic diameters,pubmed,C0579133,Finding,Disorders,arcdischarge in solution,pubmed,C0037633|C0150312|C0332285|C0525069|C1707101,Biomedical or Dental Material|Finding|Gene or Genome|Spatial Concept|Substance,Chemicals & Drugs|Concepts & Ideas|Disorders|Genes & Molecular Sequences|Objects,1
LVID,lv end diastolic internal diameter,pubmed,C0023128|C0442709|C0731033|C1881413|C2314970,Chemical Viewed Structurally|Clinical Attribute|Geographic Area|Organic Chemical|Pharmacologic Substance|Quantitative Concept|Vitamin,Chemicals & Drugs|Concepts & Ideas|Geographic Areas|Physiology,left ventricular internal dimension|left ventricular inner dimension|left ventricle internal dimensions|left ventricular internal dimensions,pubmed,C0225897|C2923418,"Body Part, Organ, or Organ Component|Clinical Attribute",Anatomy|Physiology,1
SIR,scoliosis intensive rehabilitation,pubmed,C0034991|C0034992|C0036439|C0162425|C0522510|C0700208|C1283828|C1306847|C1550453|C4552773,Acquired Abnormality|Biomedical Occupation or Discipline|Disease or Syndrome|Finding|Functional Concept|Idea or Concept|Mental Process|Qualitative Concept|Therapeutic or Preventive Procedure,Concepts & Ideas|Disorders|Occupations|Physiology|Procedures,system inflammatory reaction,pubmed,C0021368|C0449913|C1553451|C3888058|C4318427,Functional Concept|Manufactured Object|Pathologic Function|Quantitative Concept,Concepts & Ideas|Disorders|Objects,1
CBAG,city of buenos aires government,pubmed,C0600273,Organization,Organizations,coronary artery bypass graft,pubmed,C0010055|C1260596,Medical Device|Therapeutic or Preventive Procedure,Devices|Procedures,1
TFC,turkish food codex,pubmed,C0016452|C0549217|C3540798,Food|Immunologic Factor|Pharmacologic Substance|Population Group,Chemicals & Drugs|Living Beings|Objects,threaded fusion cage,pubmed,C0332466|C0337189|C0441239|C1293131|C1710394|C1882475|C4319672|C4555210,"Amino Acid, Peptide, or Protein|Functional Concept|Immunologic Factor|Intellectual Product|Manufactured Object|Medical Device|Quantitative Concept|Therapeutic or Preventive Procedure",Chemicals & Drugs|Concepts & Ideas|Devices|Objects|Procedures,1
SOTO,step out toe out procedure,pubmed,C0040357|C0184661|C0439787|C0849355|C1261552|C1704379|C1705117|C2700391|C2825408|C3274430|C3539779|C3814463,"Body Part, Organ, or Organ Component|Conceptual Entity|Functional Concept|Health Care Activity|Intellectual Product|Manufactured Object|Qualitative Concept|Quantitative Concept|Spatial Concept|Therapeutic or Preventive Procedure",Anatomy|Concepts & Ideas|Objects|Procedures,systemic outflow tract obstruction,pubmed,C0028778|C0205373|C1185740|C1882136,"Body Part, Organ, or Organ Component|Finding|Functional Concept|Pathologic Function",Anatomy|Concepts & Ideas|Disorders,1
TUA,trastornos por uso de alcohol|trastorno por uso de alcohol,pubmed,C0001962|C0001975|C0011198|C0017480|C1710596|C3541240|C4078840|C4321240,"Amino Acid, Peptide, or Protein|Enzyme|Gene or Genome|Geographic Area|Intellectual Product|Organic Chemical|Pharmacologic Substance",Chemicals & Drugs|Concepts & Ideas|Genes & Molecular Sequences|Geographic Areas,transurethral alprostadil,pubmed,C0002335|C0205497,Organic Chemical|Pharmacologic Substance|Spatial Concept,Chemicals & Drugs|Concepts & Ideas,1
SSCP,steadystate cpeptide,pubmed,C0202100|C0678587,Laboratory Procedure|Natural Phenomenon or Process,Phenomena|Procedures,singlestrand conformation polymorphism technique,pubmed,C0026377|C0032529|C0449851|C1882417,Functional Concept|Genetic Function|Qualitative Concept|Spatial Concept,Concepts & Ideas|Physiology,1
ESB,exposure with safety behaviour,pubmed,C0274281|C0332157|C1321226,Individual Behavior|Injury or Poisoning|Qualitative Concept,Activities & Behaviors|Concepts & Ideas|Disorders,extract of scutellaria baicalensis,pubmed,C1568085|C3256092,Organic Chemical|Pharmacologic Substance,Chemicals & Drugs,1
TLE,temporal lobe epilepsy|temporal lobe psychomotor limbic epilepsy|epilepsy temporal lobe|temporal lobe mtl epilepsy|temporal lobe epilepsies,"umls,pubmed",C0014556,Disease or Syndrome,Disorders,thrombin like enzyme,pubmed,C0014442|C0040018|C4521602,"Amino Acid, Peptide, or Protein|Enzyme|Pharmacologic Substance|Qualitative Concept",Chemicals & Drugs|Concepts & Ideas,1
BAM,balloonassisted maturation,pubmed,C0678723|C0870861|C1254042,Organism Function|Phenomenon or Process|Physiologic Function,Phenomena|Physiology,bottom ash and metakaolin,pubmed,C3178986,Hazardous or Poisonous Substance|Organic Chemical,Chemicals & Drugs,1
SUPP,stress urethral pressure profile,pubmed,C0430961,Diagnostic Procedure,Procedures,suppression,pubmed,C0221103|C0301625|C0439181|C0728721,Mental Process|Organism Function|Pathologic Function|Quantitative Concept,Concepts & Ideas|Disorders|Physiology,1
TMA,turbulent mixed airflow,pubmed,C0205430|C0232003|C3160715,Finding|Functional Concept,Concepts & Ideas|Disorders,thermococcus marinus,pubmed,C1211449,Archaeon,Living Beings,1
